displayName,joined,points,tier,totalBronzeMedals,totalGoldMedals,totalMedals,totalSilverMedals
DeePBluE,2016-10-28T13:42:09.677Z,7326.0,expert,1,0,5,4
Lathwal,2017-04-11T19:54:10.437Z,7326.0,expert,3,0,3,0
checho,2013-03-05T11:38:52.037Z,7319.0,master,1,1,5,3
Nicole Finnie,2018-02-22T09:22:43.21Z,7316.0,expert,0,0,2,2
Liam Finnie,2018-02-22T09:25:41.737Z,7316.0,expert,0,0,2,2
Nurlanbek Duishoev,2014-07-08T14:14:22.58Z,7314.0,master,0,1,2,1
John Doge,2017-10-27T07:34:25.44Z,7308.0,expert,2,0,4,2
Giulio,2013-06-25T17:28:20.827Z,7307.0,grandmaster,4,6,21,11
Savioz,2013-05-11T16:04:08.237Z,7289.0,expert,2,0,3,1
Florian Laroumagne,2015-08-31T10:19:16.367Z,7284.0,master,3,2,7,2
tishur,2014-11-23T13:18:06.13Z,7268.0,expert,1,0,4,3
Diogo,2010-08-05T08:14:29Z,7258.0,master,4,1,7,2
Darkhan Nurakhmetov,2016-05-21T09:49:15.207Z,7256.0,expert,0,0,3,3
LinuX19,2016-12-15T03:17:58.71Z,7256.0,master,0,1,3,2
Yini,2017-05-22T22:22:34.883Z,7245.0,expert,0,0,3,3
agdavis,2011-09-02T01:06:13.907Z,7220.0,master,1,4,7,2
Daniel Burrueco,2017-05-23T18:06:37.953Z,7214.0,expert,0,0,3,3
THLUO,2017-02-20T11:07:44.213Z,7193.0,expert,0,0,3,3
Sky Huang,2017-06-05T18:38:51.307Z,7193.0,master,0,1,3,2
Guocong Song,2012-04-27T23:39:27.15Z,7183.0,grandmaster,0,7,12,5
Dmitry Pranchuk,2017-01-25T16:58:15.23Z,7182.0,expert,1,1,3,1
Dmitry Kozlov,2015-08-28T06:19:11.407Z,7180.0,expert,4,0,4,0
Strideradu,2015-05-12T04:15:16.467Z,7154.0,expert,3,0,6,3
Carlos Brioso,2016-09-12T21:08:16.25Z,7150.0,expert,4,0,6,2
Jordan Goblet,2013-04-19T08:52:40.15Z,7141.0,master,2,1,10,7
hawks10,2013-01-03T03:02:49.55Z,7138.0,expert,8,0,9,1
Nilotpal Sinha,2014-02-18T10:16:47.487Z,7133.0,expert,2,0,2,0
Zongyi Liu,2015-10-17T21:39:34.907Z,7118.0,expert,3,0,7,4
Parkinson Zabelin,2014-12-10T12:42:23.963Z,7110.0,expert,4,0,9,5
DGough,2016-04-22T13:53:17.767Z,7093.0,expert,0,1,2,1
Virilo Tejedor Aguilera,2014-08-05T16:17:12.99Z,7065.0,master,3,1,8,4
LIN China,2014-05-27T02:26:44.39Z,7061.0,expert,5,0,8,3
Luiz Gustavo Hafemann,2013-04-30T00:28:12.17Z,7049.0,expert,1,0,3,2
zero,2016-05-23T13:45:04.96Z,7046.0,master,0,2,4,2
Norman Secord,2012-06-18T15:18:55.903Z,7036.0,expert,4,0,8,4
Aleksey Toshchakov,2017-03-11T18:32:53.18Z,7027.0,expert,1,0,4,3
acganesh,2014-12-14T03:31:54.553Z,7024.0,expert,0,2,2,0
Yuchen Zhang,2012-03-09T06:32:31.72Z,7012.0,master,0,3,3,0
Grey,2015-04-12T06:20:49.297Z,6991.0,master,0,1,3,2
AMPires,2011-05-15T02:44:22.99Z,6989.0,master,6,2,13,5
Igor Buinyi,2015-08-18T08:19:43.287Z,6989.0,expert,1,1,3,1
mokp,2014-12-29T11:48:26.24Z,6987.0,expert,1,1,3,1
Ray,2014-10-31T19:55:05.457Z,6986.0,expert,0,0,3,3
Aleksei Solovev,2016-11-25T08:53:15.91Z,6984.0,expert,1,0,5,4
CamelyCamel,2016-08-21T03:23:28.28Z,6980.0,expert,0,0,2,2
MrChenPeng,2017-03-15T13:32:17.807Z,6975.0,expert,1,0,3,2
true_pk,2014-09-10T11:09:39.773Z,6972.0,master,1,2,4,1
Heikki Huttunen,2012-06-05T17:39:02.387Z,6963.0,master,0,2,5,3
yisun,2013-09-21T03:46:46.143Z,6946.0,expert,0,2,2,0
Jacob Steinhardt,2014-05-15T17:23:03.163Z,6946.0,expert,0,2,2,0
Hugh Zhang,2014-08-09T03:42:06.107Z,6946.0,expert,0,2,2,0
ftramer,2015-07-09T09:29:54.273Z,6946.0,expert,0,2,2,0
Philip Hwang,2017-08-30T23:11:05.8Z,6946.0,expert,0,2,2,0
oversam,2018-03-13T13:13:57.663Z,6944.0,expert,1,0,3,2
Andy Penrose,2017-09-06T19:55:20.62Z,6933.0,expert,3,0,3,0
Craig Glastonbury,2015-10-28T11:42:28.03Z,6932.0,master,0,1,3,2
Vilmar,2015-09-19T12:40:31.297Z,6916.0,expert,4,0,5,1
 sravn,2014-10-22T07:56:57.187Z,6910.0,expert,1,0,5,4
BDataKnowmad,2015-06-02T20:29:10.533Z,6906.0,expert,5,0,5,0
Malte Nalenz,2014-02-09T15:07:32.537Z,6905.0,expert,1,0,2,1
Armin,2015-09-20T15:18:16.067Z,6899.0,expert,2,1,4,1
Jong-Yeol Yang,2016-04-11T00:12:35.893Z,6895.0,expert,0,0,2,2
Santanu Pattanayak,2014-12-13T06:55:10.07Z,6892.0,expert,1,0,3,2
Abstractuary,2017-03-04T02:39:05.807Z,6890.0,expert,2,0,4,2
Hiroyuki Namba,2017-03-30T01:25:53.157Z,6887.0,expert,0,0,2,2
Nana,2014-01-10T08:01:18.687Z,6876.0,master,0,2,2,0
Tsakalis Kostas,2014-04-03T22:16:13.837Z,6871.0,master,1,1,6,4
Michael Wallin,2013-06-15T18:45:23.413Z,6863.0,expert,6,0,13,7
Alessannr,2015-12-09T16:47:02.837Z,6862.0,expert,1,2,3,0
Mendrika Ramarlina,2012-03-20T21:37:50.737Z,6855.0,master,3,1,11,7
Alex Jacobs,2012-03-14T09:51:49.327Z,6846.0,expert,5,1,7,1
Citrinitas,2014-03-20T11:06:30.927Z,6842.0,master,1,1,5,3
T Flana,2017-06-24T01:27:31.813Z,6838.0,expert,2,0,4,2
Oleg Yaroshevskyy,2016-11-21T21:48:14.81Z,6832.0,expert,0,1,2,1
CraigC@CogRocket,2014-01-26T23:03:11.797Z,6825.0,expert,0,0,5,5
Sergey Zlobin,2017-11-16T20:02:58.193Z,6824.0,expert,0,0,2,2
Fan Ni,2016-09-13T04:34:31.46Z,6820.0,expert,2,0,3,1
alex,2016-01-18T11:12:02.45Z,6818.0,master,3,1,6,2
Max Diebold,2016-09-15T14:08:51.017Z,6818.0,expert,1,1,3,1
Anjana Agrawal,2014-12-03T08:46:51.457Z,6816.0,expert,1,0,2,1
GopalS,2013-12-26T09:00:17.093Z,6811.0,expert,3,0,5,2
golondrina,2014-04-25T09:00:03.253Z,6802.0,master,1,4,6,1
Feater,2016-06-01T08:28:49.47Z,6788.0,expert,1,1,3,1
Zsolt Vadaszi,2016-05-12T08:34:07.997Z,6783.0,master,0,1,3,2
quadcore/Richard Epstein,2011-11-09T11:27:04.233Z,6762.0,master,1,1,5,3
Srikanth Sankaran Iyer,2013-06-04T19:12:19.117Z,6759.0,expert,5,0,7,2
Hiroshi Arai,2017-03-09T04:02:57.787Z,6756.0,expert,1,0,3,2
Sergey Shtekhin,2016-11-03T13:06:14.553Z,6749.0,expert,2,0,3,1
Mark Worrall,2016-01-28T09:33:32.85Z,6718.0,expert,0,0,2,2
Yan Budakyan,2016-11-24T21:41:37.903Z,6718.0,expert,2,0,3,1
Nirvanada,2015-07-08T06:28:11.737Z,6713.0,expert,1,0,3,2
Zijun Yao,2016-12-20T12:38:07.673Z,6712.0,expert,0,0,2,2
KonradCz.,2016-09-13T09:22:34.677Z,6711.0,master,0,2,3,1
Wesam Elshamy,2017-04-09T07:43:37.303Z,6704.0,expert,3,0,3,0
xpeuler,2016-12-12T00:21:45.05Z,6690.0,expert,0,2,2,0
Edwin Graham,2014-03-27T09:14:38.077Z,6684.0,master,7,1,12,4
brassmonkey,2015-08-25T11:27:09.827Z,6678.0,expert,0,0,2,2
Toby Cheese,2014-07-25T19:18:07.327Z,6677.0,master,6,1,9,2
Laurae,2016-02-06T17:03:07.923Z,6674.0,master,2,1,9,6
Aman DaVinci,2017-01-23T11:57:38.347Z,6673.0,expert,1,1,2,0
Bogdan Pantic,2017-03-09T19:45:49.053Z,6673.0,expert,1,0,2,1
JaimeF,2015-08-28T21:04:08.92Z,6664.0,expert,0,0,2,2
Topspin26,2014-06-11T19:35:55.973Z,6661.0,expert,1,1,3,1
Velikolepno,2014-09-22T15:39:07.52Z,6660.0,expert,1,0,5,4
Ash,2014-08-23T10:25:44.83Z,6651.0,master,1,1,5,3
Remi Cadene,2014-11-30T14:10:12.583Z,6644.0,master,1,1,4,2
Steve Joly,2015-11-20T00:14:58.597Z,6642.0,expert,2,0,3,1
weezy,2014-12-05T20:59:46.47Z,6623.0,master,0,2,3,1
Sorceress,2011-07-14T17:44:01.697Z,6601.0,expert,2,0,4,2
NULL,2015-12-27T09:16:55.537Z,6599.0,expert,3,0,7,4
Isaac,2013-02-26T12:48:26.81Z,6597.0,expert,5,1,7,1
Richard Courtheoux,2012-08-19T04:52:39.53Z,6594.0,expert,0,1,2,1
den3b,2016-10-03T16:16:26.35Z,6594.0,expert,1,0,4,3
NSK,2014-02-10T07:58:24.767Z,6593.0,expert,1,0,3,2
Zuoyu Miao,2017-11-28T05:59:47.817Z,6572.0,expert,0,0,2,2
Zhiqiang Zhong,2016-04-13T12:07:09.327Z,6561.0,expert,1,1,3,1
Byfone,2016-09-12T15:39:34.163Z,6554.0,expert,1,0,3,2
logachev,2017-07-11T19:48:18.457Z,6549.0,expert,2,0,3,1
_hans,2017-01-05T13:18:28.36Z,6548.0,expert,1,0,3,2
